ls11cd,la11nm,london_imd_rank,london_imd_decile,Index of Multiple Deprivation (IMD) Score,Income Score (rate),Employment Score (rate),"Education, Skills and Training Score",Health Deprivation and Disability Score,Crime Score,Barriers to Housing and Services Score,Living Environment Score
E01000088,Barking and Dagenham,1299,3,28.849,0.147,0.1,20.313,0.264,0.552,44.005,34.525
E01000089,Barking and Dagenham,1279,3,28.968,0.156,0.092,25.246,-0.154,0.189,47.254,40.955
E01000090,Barking and Dagenham,1374,3,28.317,0.169,0.091,22.024,-0.187,0.7,45.475,29.464
E01000091,Barking and Dagenham,168,1,42.183,0.256,0.175,32.562,0.324,0.994,48.266,23.563
E01000092,Barking and Dagenham,736,2,33.768,0.215,0.106,18.788,-0.008,0.657,61.059,29.993
E01000093,Barking and Dagenham,48,1,46.922,0.26,0.169,27.955,0.842,1.073,49.657,43.57
E01000094,Barking and Dagenham,1392,3,28.182,0.167,0.094,10.866,-0.036,0.524,64.961,20.692
E01000095,Barking and Dagenham,885,2,32.254,0.196,0.095,22.314,-0.111,0.944,63.151,18.657
E01000096,Barking and Dagenham,224,1,40.926,0.259,0.135,34.307,0.008,1.284,48.317,29.982
E01000097,Barking and Dagenham,391,1,38.009,0.223,0.131,32.926,0.808,0.468,47.096,28.566
E01000098,Barking and Dagenham,303,1,39.405,0.239,0.159,31.389,0.443,0.911,43.482,28.673
E01000099,Barking and Dagenham,1251,3,29.266,0.174,0.105,25.037,0.214,0.008,47.111,26.795
E01000100,Barking and Dagenham,933,2,31.83,0.16,0.117,29.622,0.106,0.634,42.938,38.207
E01000101,Barking and Dagenham,244,1,40.463,0.254,0.154,28.988,0.464,0.832,43.29,37.223
E01000102,Barking and Dagenham,149,1,42.631,0.275,0.175,23.976,0.684,0.762,44.376,33.8
E01000103,Barking and Dagenham,823,2,32.894,0.18,0.113,26.208,0.427,0.58,50.872,20.068
E01000104,Barking and Dagenham,644,2,34.672,0.222,0.134,31.664,0.276,0.131,50.107,18.066
E01000105,Barking and Dagenham,104,1,44.149,0.246,0.165,36.132,0.932,1.039,47.24,25.589
E01000106,Barking and Dagenham,115,1,43.523,0.275,0.167,27.219,0.636,0.786,51.428,26.265
E01000107,Barking and Dagenham,1372,3,28.332,0.151,0.095,29.324,0.579,-0.027,44.429,22.813
E01000108,Barking and Dagenham,1394,3,28.166,0.171,0.104,20.596,0.158,0.183,41.045,35.136
E01000109,Barking and Dagenham,1721,4,25.691,0.12,0.084,22.485,-0.199,0.891,39.755,34.149
E01000110,Barking and Dagenham,2817,6,17.741,0.112,0.078,12.848,-0.002,-0.312,32.872,20.544
E01000111,Barking and Dagenham,1292,3,28.903,0.174,0.111,20.878,0.187,0.313,44.339,26.789
E01000112,Barking and Dagenham,1827,4,24.743,0.129,0.065,18.969,-0.324,0.602,43.159,40.766
E01000113,Barking and Dagenham,1769,4,25.268,0.152,0.081,16.983,-0.122,0.708,42.208,26.945
E01000114,Barking and Dagenham,2019,5,23.288,0.119,0.074,19.124,-0.117,0.423,40.755,34.274
E01000115,Barnet,4575,10,6.227,0.055,0.046,3.734,-1.526,-0.545,17.004,18.838
E01000116,Barnet,4345,9,7.79,0.074,0.049,3.87,-1.412,-0.43,19.173,18.248
E01000117,Barnet,4032,9,9.642,0.071,0.062,6.077,-1.141,-0.168,21.506,17.66
E01000118,Barnet,4005,9,9.812,0.077,0.059,8.59,-1.679,-0.206,22.339,16.261
E01000119,Barnet,3746,8,11.589,0.078,0.054,3.312,-1.884,0.627,23.519,21.949
E01000120,Barnet,4617,10,5.902,0.061,0.036,4.436,-1.58,-0.568,18.977,14.872
E01000121,Barnet,511,2,36.203,0.262,0.194,22.583,0.261,0.336,37.522,13.339
E01000122,Barnet,3956,9,10.152,0.071,0.055,2.257,-1.246,-0.622,30.659,21.817
E01000123,Barnet,3829,8,11.048,0.075,0.049,8.519,-1.062,-0.684,34.632,15.659
E01000124,Barnet,1973,5,23.589,0.166,0.128,14.674,-0.593,0.491,30.587,20.768
E01000125,Barnet,1580,4,26.704,0.179,0.088,23.785,-0.615,0.586,45.911,20.582
E01000126,Barnet,751,2,33.625,0.243,0.152,13.21,-0.077,-0.164,51.181,24.433
E01000127,Barnet,1468,4,27.543,0.193,0.129,21.348,-0.495,0.424,37.588,22.92
E01000128,Barnet,1533,4,27.055,0.171,0.103,22.529,-0.346,0.957,34.708,27.146
E01000129,Barnet,1042,3,31,0.214,0.11,23.973,-0.148,1.004,38.657,25.543
E01000130,Barnet,1060,3,30.863,0.185,0.118,19.118,-0.331,0.839,43.475,35.288
E01000131,Barnet,2351,5,20.904,0.116,0.067,10.9,-0.802,1.133,39.033,20.979
E01000132,Barnet,1741,4,25.53,0.187,0.106,22.698,-0.464,0.309,35.397,25.837
E01000133,Barnet,1069,3,30.774,0.188,0.159,24.516,-0.059,0.065,40.079,26.72
E01000134,Barnet,1834,4,24.669,0.184,0.093,20.26,-0.579,-0.195,42.152,27.225
E01000135,Barnet,3613,8,12.523,0.076,0.048,4.357,-1.087,0.385,25.516,33.536
E01000136,Barnet,4151,9,8.96,0.037,0.02,0.946,-1.93,0.188,27.615,36.198
E01000137,Barnet,1306,3,28.786,0.235,0.145,8.14,0.077,0.348,33.329,22.835
E01000138,Barnet,1434,3,27.86,0.178,0.127,8.449,-0.547,1.066,35.73,31.895
E01000139,Barnet,3632,8,12.388,0.082,0.041,4.481,-1.326,0.61,25.608,29.28
E01000140,Barnet,2953,7,16.817,0.118,0.078,9.457,-0.914,-0.026,30.188,30.341
E01000141,Barnet,1304,3,28.797,0.149,0.083,11.28,-0.736,1.518,35.668,52.22
E01000142,Barnet,2970,7,16.669,0.126,0.077,8.856,-0.676,-0.373,30.865,28.68
E01000143,Barnet,997,3,31.342,0.239,0.153,16.558,-0.081,0.763,33.531,19.252
E01000144,Barnet,2733,6,18.338,0.102,0.082,8.328,-0.906,0.717,31.107,29.17
E01000145,Barnet,3288,7,14.626,0.088,0.072,4.679,-1.5,0.196,29.116,32.598
E01000146,Barnet,2701,6,18.538,0.103,0.089,4.798,-1.542,0.638,34.561,29.849
E01000147,Barnet,3579,8,12.786,0.078,0.04,9.893,-1.99,0.336,27.447,33.415
E01000148,Barnet,1458,4,27.671,0.186,0.115,15.794,-0.042,0.009,43.166,29.844
E01000150,Barnet,3147,7,15.583,0.106,0.056,9.297,-1.385,-0.033,33.726,33.545
E01000151,Barnet,333,1,38.897,0.332,0.191,18.815,-0.203,0.085,40.945,19.735
E01000152,Barnet,871,2,32.418,0.265,0.144,25.229,-0.552,0.049,44.269,16.001
E01000153,Barnet,194,1,41.649,0.276,0.173,36.066,-0.047,0.872,49.389,18.106
E01000154,Barnet,849,2,32.667,0.201,0.141,22.212,0.007,0.827,43.4,22.744
E01000155,Barnet,2362,5,20.797,0.135,0.062,12.175,-1.303,-0.128,39.038,47.35
E01000156,Barnet,4264,9,8.319,0.075,0.04,1.668,-0.991,-0.158,22.228,19.997
E01000157,Barnet,3598,8,12.655,0.089,0.054,10.386,-1.084,-0.281,24.93,32.014
E01000158,Barnet,2508,6,19.721,0.13,0.087,10.783,-0.598,0.561,28.16,31.142
E01000159,Barnet,3031,7,16.257,0.112,0.077,4.883,-1.287,0.561,32.939,17.393
E01000160,Barnet,3675,8,12.121,0.07,0.047,7.531,-1.028,0.463,26.935,26.093
E01000161,Barnet,3309,7,14.513,0.109,0.055,3.782,-0.524,0.612,27.508,20.014
E01000162,Barnet,2707,6,18.504,0.117,0.098,9.943,-0.479,0.481,24.285,27.187
E01000163,Barnet,1344,3,28.541,0.2,0.145,13.328,0.036,0.26,38.055,21.987
E01000164,Barnet,1760,4,25.331,0.172,0.107,11.909,-0.666,0.841,36.044,28.698
E01000165,Barnet,3511,8,13.258,0.099,0.05,5.196,-1.29,0.198,35.632,16.048
E01000166,Barnet,3243,7,14.861,0.105,0.082,7.16,-0.922,0.276,28.957,13.626
E01000167,Barnet,1367,3,28.35,0.199,0.125,22.649,0.166,0.516,33.883,18.27
E01000168,Barnet,4479,10,6.975,0.05,0.035,3.41,-1.486,-0.095,21.872,21.5
E01000169,Barnet,3516,8,13.226,0.086,0.063,4.871,-1.209,0.466,25.427,25.647
E01000170,Barnet,2417,5,20.384,0.147,0.114,10.294,-0.625,0.536,22.502,25.376
E01000171,Barnet,1892,4,24.261,0.196,0.105,12.3,-0.164,0.288,26.487,33.967
