,income,employment,edu_ski_tra,health_depri,crime,hous_serv,living_env,cluster_id
1299,0.11,0.067,19.152,-0.73,-0.401,39.693,23.938,0
1300,0.276,0.198,32.285,0.055,0.531,48.429,17.821,1
1301,0.154,0.119,19.673,-0.258,0.49,38.009,26.544,0
1302,0.149,0.097,10.133,-0.584,0.892,36.608,28.828,0
1303,0.115,0.082,10.85,-0.518,1.069,33.53,38.444,0
1304,0.183,0.112,15.467,0.111,0.945,62.44,28.757,1
1305,0.185,0.112,22.688,-0.084,0.483,35.495,21.094,1
1306,0.194,0.116,18.871,-0.188,0.76,55.973,28.575,1
1307,0.193,0.131,20.931,-0.102,0.779,40.946,26.181,1
1308,0.194,0.118,25.279,0.051,1.006,46.681,27.427,1
1309,0.175,0.086,17.717,-0.131,0.54,35.962,22.497,0
1310,0.274,0.184,24.712,0.08,0.714,57.926,28.276,1
1311,0.247,0.153,27.114,0.366,0.656,43.908,24.514,1
1312,0.267,0.167,22.069,0.471,0.367,51.268,23.328,1
1313,0.241,0.13,27.147,0.416,1.054,43.44,42.624,1
1314,0.291,0.186,30.338,0.275,0.142,46.939,24.286,1
1315,0.126,0.08,8.406,-0.262,0.488,32.081,37.209,0
1316,0.168,0.109,12.757,-0.165,0.124,38.493,30.278,0
1317,0.174,0.145,14.713,0.363,1.298,48.911,26.615,1
1318,0.139,0.123,13.632,0.144,-0.019,47.053,28.287,0
1319,0.238,0.164,20.452,-0.018,0.074,52.214,21.201,1
1320,0.212,0.207,23.628,0.272,0.646,45.268,17.38,1
1321,0.084,0.044,13.276,-0.978,-0.484,30.821,30.068,2
1322,0.088,0.046,10.377,-0.754,-0.536,34.858,37.215,2
1323,0.1,0.075,13.832,-0.955,-0.364,30.926,24.681,2
1324,0.137,0.08,8.17,-0.759,-0.539,42.382,18.319,0
1325,0.12,0.078,15.741,-0.539,-0.494,34.111,23.053,0
1326,0.094,0.051,6.268,-1.175,-0.446,26.036,32.148,2
1327,0.102,0.052,13.833,-0.792,-0.019,44.378,33.278,0
1328,0.143,0.066,8.322,-0.657,0.271,31.265,39.249,0
1329,0.176,0.127,17.264,0.301,1.167,46.091,27.964,1
1330,0.084,0.075,1.95,-0.337,0.104,33.95,31.435,0
1331,0.162,0.101,4.474,0.131,1.295,34.369,37.51,0
1332,0.102,0.052,2.971,-0.934,0.254,27.464,42.501,2
1333,0.139,0.085,12.049,-0.059,0.372,37.894,34.772,0
1334,0.122,0.068,6.533,0.559,0.721,27.019,38.929,0
1335,0.148,0.112,6.797,0.236,0.304,31.268,37.503,0
1336,0.329,0.243,28.467,0.398,0.283,39.508,20.31,1
1337,0.309,0.164,11.708,0.37,0.748,48.975,33.513,1
1338,0.321,0.176,26.512,0.186,0.064,56.626,42.7,1
1339,0.142,0.087,22.798,-0.197,0.381,41.985,27.801,0
1340,0.146,0.092,21.044,-0.153,1.548,37.448,31.857,0
1341,0.181,0.113,27.214,-0.078,1.246,44.631,35.826,1
1342,0.157,0.118,28.674,0.102,0.313,42.106,29.131,1
1343,0.145,0.09,29.966,-0.249,0.521,41.98,24.888,1
1344,0.305,0.182,26.234,0.499,0.497,44.941,21.625,1
1345,0.153,0.111,21.762,0.287,-0.139,46.057,27.449,1
1346,0.169,0.121,23.968,-0.019,-0.096,44.999,28.086,1
1347,0.189,0.096,30.711,-0.308,0.52,45.048,33.395,1
1348,0.163,0.133,22.136,-0.041,0.709,38.289,25.458,1
1349,0.146,0.08,25.564,-0.314,0.261,41.216,33.505,0
1350,0.14,0.094,27.555,-0.202,0.699,38.48,26.362,1
1351,0.166,0.103,28.866,-0.214,0.325,41.879,23.791,1
1352,0.189,0.13,30.116,-0.061,0.162,46.818,21.061,1
1353,0.173,0.095,27.34,-0.004,0.081,38.127,28.311,1
1354,0.074,0.049,1.561,-0.584,-0.119,28.056,27.078,2
1355,0.032,0.021,0.339,-1.248,0.161,18.216,22.455,2
1356,0.19,0.13,10.964,-0.238,-0.063,30.575,22.953,0
1357,0.042,0.024,0.765,-1.425,0.072,24.633,34.286,2
1358,0.038,0.026,0.218,-0.943,-0.242,20.958,29.001,2
1359,0.084,0.045,1.271,-0.793,-0.142,31.622,32.757,2
1360,0.123,0.078,3.378,-0.568,-0.196,29.008,43.327,0
1361,0.029,0.023,0.381,-0.935,0.202,21.884,37.871,2
1362,0.071,0.052,2.013,-0.289,-0.223,26.021,29.019,2
1363,0.071,0.046,2.199,-0.785,-0.146,22.525,29.039,2
1364,0.063,0.035,0.349,-1.216,0.075,22.607,28.24,2
1365,0.057,0.048,0.701,-0.805,-0.1,25.225,31.27,2
